step_id,start_date,end_date,year,month
0,2/18/2000,3/4/2000,2000,2
1,3/5/2000,3/20/2000,2000,3
2,3/21/2000,4/5/2000,2000,3
3,4/6/2000,4/21/2000,2000,4
4,4/22/2000,5/7/2000,2000,4
5,5/8/2000,5/23/2000,2000,5
6,5/24/2000,6/8/2000,2000,5
7,6/9/2000,6/24/2000,2000,6
8,6/25/2000,7/10/2000,2000,6
9,7/11/2000,7/26/2000,2000,7
10,7/27/2000,8/11/2000,2000,7
11,8/12/2000,8/27/2000,2000,8
12,8/28/2000,9/12/2000,2000,8
13,9/13/2000,9/28/2000,2000,9
14,9/29/2000,10/14/2000,2000,9
15,10/15/2000,10/30/2000,2000,10
16,10/31/2000,11/15/2000,2000,10
17,11/16/2000,12/1/2000,2000,11
18,12/2/2000,12/17/2000,2000,12
19,12/18/2000,1/2/2001,2000,12
20,1/3/2001,1/18/2001,2001,1
21,1/19/2001,2/3/2001,2001,1
22,2/4/2001,2/19/2001,2001,2
23,2/20/2001,3/7/2001,2001,2
24,3/8/2001,3/23/2001,2001,3
25,3/24/2001,4/8/2001,2001,3
26,4/9/2001,4/24/2001,2001,4
27,4/25/2001,5/10/2001,2001,4
28,5/11/2001,5/26/2001,2001,5
29,5/27/2001,6/11/2001,2001,5
30,6/12/2001,6/27/2001,2001,6
31,6/28/2001,7/13/2001,2001,6
32,7/14/2001,7/29/2001,2001,7
33,7/30/2001,8/14/2001,2001,7
34,8/15/2001,8/30/2001,2001,8
35,8/31/2001,9/15/2001,2001,8
36,9/16/2001,10/1/2001,2001,9
37,10/2/2001,10/17/2001,2001,10
38,10/18/2001,11/2/2001,2001,10
39,11/3/2001,11/18/2001,2001,11
40,11/19/2001,12/4/2001,2001,11
41,12/5/2001,12/20/2001,2001,12
42,12/21/2001,1/5/2002,2001,12
43,1/6/2002,1/21/2002,2002,1
44,1/22/2002,2/6/2002,2002,1
45,2/7/2002,2/22/2002,2002,2
46,2/23/2002,3/10/2002,2002,2
47,3/11/2002,3/26/2002,2002,3
48,3/27/2002,4/11/2002,2002,3
49,4/12/2002,4/27/2002,2002,4
50,4/28/2002,5/13/2002,2002,4
51,5/14/2002,5/29/2002,2002,5
52,5/30/2002,6/14/2002,2002,5
53,6/15/2002,6/30/2002,2002,6
54,7/1/2002,7/16/2002,2002,7
55,7/17/2002,8/1/2002,2002,7
56,8/2/2002,8/17/2002,2002,8
57,8/18/2002,9/2/2002,2002,8
58,9/3/2002,9/18/2002,2002,9
59,9/19/2002,10/4/2002,2002,9
60,10/5/2002,10/20/2002,2002,10
61,10/21/2002,11/5/2002,2002,10
62,11/6/2002,11/21/2002,2002,11
63,11/22/2002,12/7/2002,2002,11
64,12/8/2002,12/23/2002,2002,12
